"State","Gender","Age.Cohort","fit","lwr","upr"
"Alaska","Total","< 1 year","58.8238095238095","33.6600849235734","83.9875341240455"
"Alaska","Total","1-4 years","17.3476190476191","6.55120733960127","28.1440307556369"
"Alaska","Total","5-14 years","20.1476190476189","4.8798999534589","35.415338141779"
"Alaska","Total","15-24 years","119.785714285714","90.4404840470279","149.1309445244"
"Alaska","Total","25-34 years","215.261904761905","166.676850740721","263.846958783088"
"Alaska","Total","35-44 years","194.442857142857","146.804934726399","242.080779559315"
"Alaska","Total","45-54 years","431.871428571429","330.039960328","533.702896814858"
"Alaska","Total","55-64 years","874.190476190481","772.186497300592","976.19445508037"
"Alaska","Total","65-74 years","961.833333333343","840.735788110827","1082.93087855586"
"Alaska","Total","75-84 years","915.576190476189","824.883949252164","1006.26843170022"
"Alaska","Total","85+ years","890.433333333334","825.330169771186","955.536496895482"
"Arizona","Female","< 1 year","202.552380952381","138.671596065936","266.433165838826"
"Arizona","Female","1-4 years","42.9333333333334","23.6561165720882","62.2105500945786"
"Arizona","Female","5-14 years","50.0380952380949","31.5100638451665","68.5661266310233"
"Arizona","Female","15-24 years","201.085714285714","139.118828261922","263.052600309507"
"Arizona","Female","25-34 years","403.557142857146","347.950782184796","459.163503529495"
"Arizona","Female","35-44 years","602.952380952382","521.410793617192","684.493968287571"
"Arizona","Female","45-54 years","1393.01904761905","1213.30180379241","1572.7362914457"
"Arizona","Female","55-64 years","3008.62857142859","2878.4996131042","3138.75752975299"
"Arizona","Female","65-74 years","4710.84761904765","4025.18207820387","5396.51315989143"
"Arizona","Female","75-84 years","6381.59523809524","5608.20343944848","7154.98703674201"
"Arizona","Female","85+ years","10338.2857142857","9956.86724838821","10719.7041801833"
"Arizona","Male","< 1 year","244.833333333334","169.583493376022","320.083173290646"
"Arizona","Male","1-4 years","60.6380952380953","37.7299049287152","83.5462855474754"
"Arizona","Male","5-14 years","68.0428571428574","44.1279816271624","91.9577326585524"
"Arizona","Male","15-24 years","548.414285714285","386.527593131484","710.300978297086"
"Arizona","Male","25-34 years","966.680952380957","788.331071420471","1145.03083334144"
"Arizona","Male","35-44 years","1036.55238095238","806.590023551979","1266.51473835278"
"Arizona","Male","45-54 years","2288.6380952381","2018.67664350327","2558.59954697292"
"Arizona","Male","55-64 years","4839.82380952383","4674.59950708711","5005.04811196055"
"Arizona","Male","65-74 years","6598.31904761906","5582.61410087907","7614.02399435906"
"Arizona","Male","75-84 years","7611.40000000002","6677.24213034898","8545.55786965107"
"Arizona","Male","85+ years","7375.93333333335","6978.07685632225","7773.78981034444"
"Arizona","Total","< 1 year","447.385714285716","314.475089373603","580.296339197829"
"Arizona","Total","1-4 years","103.571428571428","70.9155959571826","136.227261185674"
"Arizona","Total","5-14 years","118.080952380952","85.8192675688566","150.342637193047"
"Arizona","Total","15-24 years","749.5","529.776366586615","969.223633413384"
"Arizona","Total","25-34 years","1370.2380952381","1166.11858763872","1574.35760283748"
"Arizona","Total","35-44 years","1639.50476190476","1347.58281486834","1931.42670894119"
"Arizona","Total","45-54 years","3681.65714285715","3260.47750537279","4102.83678034151"
"Arizona","Total","55-64 years","7848.45238095243","7586.4355338382","8110.46922806665"
"Arizona","Total","65-74 years","11309.1666666667","9621.56762571615","12996.7657076172"
"Arizona","Total","75-84 years","13992.9952380953","12325.5956539693","15660.3948222212"
"Arizona","Total","85+ years","17714.219047619","17076.012720553","18352.4253746851"
"Arkansas","Female","< 1 year","125.1","100.777835814237","149.422164185763"
"Arkansas","Female","1-4 years","22.7714285714285","10.36241497944","35.1804421634169"
"Arkansas","Female","5-14 years","27.9761904761904","18.4414226840066","37.5109582683741"
"Arkansas","Female","15-24 years","99.0380952380951","62.3428829960587","135.733307480132"
"Arkansas","Female","25-34 years","204.909523809523","176.281713457368","233.537334161679"
"Arkansas","Female","35-44 years","388.942857142857","334.693496184969","443.192218100746"
"Arkansas","Female","45-54 years","952.014285714286","787.038129999488","1116.99044142908"
"Arkansas","Female","55-64 years","1960.57619047619","1856.97493528983","2064.17744566255"
"Arkansas","Female","65-74 years","2870.31904761905","2513.12843837153","3227.50965686657"
"Arkansas","Female","75-84 years","3757.17619047619","3351.82569822574","4162.52668272663"
"Arkansas","Female","85+ years","5180.54285714285","4904.84802458893","5456.23768969677"
"Arkansas","Male","< 1 year","153.528571428571","125.984928680568","181.072214176574"
"Arkansas","Male","1-4 years","27.9571428571428","16.3597951665406","39.554490547745"
