"State","Gender","fit","lwr","upr"
"Virginia","Female","82.2974022186214","80.5745885512826","84.0632180684453"
"Virginia","Male","77.8344575633502","75.8889413386409","79.8217265574823"
"Virginia","Total","80.0925054853427","78.3072436635345","81.9140182010528"
"Washington","Female","82.9701410722829","81.3118862089003","84.6909439123636"
"Washington","Male","78.8011223979797","76.9582883413206","80.7251626381766"
"Washington","Total","80.8821779972453","79.1994497963859","82.6302636865541"
"West Virginia","Female","77.4911870867404","75.0566424592727","79.9963688363177"
"West Virginia","Male","71.9345599478401","69.1305246492914","74.8690295279141"
"West Virginia","Total","74.6393535107738","72.2324134588832","77.1272487041338"
"Wisconsin","Female","81.9340688520501","80.2282453966764","83.6436781644483"
"Wisconsin","Male","77.5482865430191","75.354582151986","79.8062377972283"
"Wisconsin","Total","79.7306004007502","77.8868324859658","81.5968139644798"
"Wyoming","Female","81.6361441974608","78.311355359347","84.9893650016968"
"Wyoming","Male","76.4497288506023","72.4981817366638","80.4564919100777"
"Wyoming","Total","78.9490400047525","75.807576291701","82.069681832776"
