"State","Gender","Age.Cohort","Fit.Bound","LE"
"Alabama","Male","75-84 years","lwr","11.1486188679959"
"Alabama","Male","85+ years","lwr","6.85186271716759"
"Alabama","Male","< 1 year","upr","73.3232643089812"
"Alabama","Male","1-4 years","upr","72.7691047283124"
"Alabama","Male","5-14 years","upr","68.8685968809568"
"Alabama","Male","15-24 years","upr","59.0023646210203"
"Alabama","Male","25-34 years","upr","49.8555334329632"
"Alabama","Male","35-44 years","upr","41.0014237026126"
"Alabama","Male","45-54 years","upr","32.4663321806379"
"Alabama","Male","55-64 years","upr","24.4917254042669"
"Alabama","Male","65-74 years","upr","17.7248322522214"
"Alabama","Male","75-84 years","upr","11.6054738618531"
"Alabama","Male","85+ years","upr","7.38644272974575"
"Alabama","Total","< 1 year","fit","75.9876626509261"
"Alabama","Total","1-4 years","fit","75.4384885003649"
"Alabama","Total","5-14 years","fit","71.5352994317287"
"Alabama","Total","15-24 years","fit","61.6406266341684"
"Alabama","Total","25-34 years","fit","52.2540480209554"
"Alabama","Total","35-44 years","fit","43.1331788426219"
"Alabama","Total","45-54 years","fit","34.3310393835167"
"Alabama","Total","55-64 years","fit","26.1124369899943"
"Alabama","Total","65-74 years","fit","18.8983726274405"
"Alabama","Total","75-84 years","fit","12.299586554176"
"Alabama","Total","85+ years","fit","7.54752757441007"
"Alabama","Total","< 1 year","lwr","75.5109091224899"
"Alabama","Total","1-4 years","lwr","74.9910876742499"
"Alabama","Total","5-14 years","lwr","71.0914946231584"
"Alabama","Total","15-24 years","lwr","61.1980072244879"
"Alabama","Total","25-34 years","lwr","51.8232519758467"
"Alabama","Total","35-44 years","lwr","42.7207504114891"
"Alabama","Total","45-54 years","lwr","33.937882464312"
"Alabama","Total","55-64 years","lwr","25.7541638171077"
"Alabama","Total","65-74 years","lwr","18.5632635077041"
"Alabama","Total","75-84 years","lwr","12.011354423509"
"Alabama","Total","85+ years","lwr","7.21757073689696"
"Alabama","Total","< 1 year","upr","76.4537459154218"
"Alabama","Total","1-4 years","upr","75.8788486199941"
"Alabama","Total","5-14 years","upr","71.9723424494506"
"Alabama","Total","15-24 years","upr","62.0765150266045"
"Alabama","Total","25-34 years","upr","52.6786542348875"
"Alabama","Total","35-44 years","upr","43.5403546164296"
"Alabama","Total","45-54 years","upr","34.7197772463082"
"Alabama","Total","55-64 years","upr","26.4682177519983"
"Alabama","Total","65-74 years","upr","19.2318050485012"
"Alabama","Total","75-84 years","upr","12.589125796533"
"Alabama","Total","85+ years","upr","7.87748441192316"
"Alaska","Female","< 1 year","fit","82.9809797473185"
"Alaska","Female","1-4 years","fit","82.2147676126855"
"Alaska","Female","5-14 years","fit","78.2615843540153"
"Alaska","Female","15-24 years","fit","68.3330531277722"
"Alaska","Female","25-34 years","fit","58.8909891584679"
"Alaska","Female","35-44 years","fit","49.5890017998146"
"Alaska","Female","45-54 years","fit","40.4121516556759"
"Alaska","Female","55-64 years","fit","31.7040875486986"
"Alaska","Female","65-74 years","fit","23.3505232595094"
"Alaska","Female","75-84 years","fit","15.6145551396585"
"Alaska","Female","85+ years","fit","9.72398878233744"
"Alaska","Female","< 1 year","lwr","82.3428771976177"
"Alaska","Female","1-4 years","lwr","81.5870359450665"
"Alaska","Female","5-14 years","lwr","77.6377541221703"
"Alaska","Female","15-24 years","lwr","67.7125401009423"
"Alaska","Female","25-34 years","lwr","58.2929614385277"
"Alaska","Female","35-44 years","lwr","49.0401212970984"
"Alaska","Female","45-54 years","lwr","39.8990898906143"
"Alaska","Female","55-64 years","lwr","31.2807634701818"
"Alaska","Female","65-74 years","lwr","22.993719371036"
"Alaska","Female","75-84 years","lwr","15.2779072574176"
"Alaska","Female","85+ years","lwr","9.54981910899122"
"Alaska","Female","< 1 year","upr","83.5739812212645"
"Alaska","Female","1-4 years","upr","82.7982619570444"
"Alaska","Female","5-14 years","upr","78.8417590775623"
"Alaska","Female","15-24 years","upr","68.9102010766052"
"Alaska","Female","25-34 years","upr","59.4473535385141"
"Alaska","Female","35-44 years","upr","50.1026726262311"
"Alaska","Female","45-54 years","upr","40.8930246168225"
"Alaska","Female","55-64 years","upr","32.1071961781902"
"Alaska","Female","65-74 years","upr","23.6927540668919"
"Alaska","Female","75-84 years","upr","15.935994674003"
"Alaska","Female","85+ years","upr","9.89815845568364"
"Alaska","Male","< 1 year","fit","77.8873169858978"
"Alaska","Male","1-4 years","fit","77.2746641859202"
"Alaska","Male","5-14 years","fit","73.3317591430019"
"Alaska","Male","15-24 years","fit","63.5708977825929"
"Alaska","Male","25-34 years","fit","54.5283176013913"
"Alaska","Male","35-44 years","fit","45.4116904942046"
"Alaska","Male","45-54 years","fit","36.5652130856256"
"Alaska","Male","55-64 years","fit","28.2311500890817"
"Alaska","Male","65-74 years","fit","20.6503954000842"
"Alaska","Male","75-84 years","fit","13.4041931434068"
"Alaska","Male","85+ years","fit","8.72603418963573"
"Alaska","Male","< 1 year","lwr","77.071604150967"
"Alaska","Male","1-4 years","lwr","76.4772396832513"
"Alaska","Male","5-14 years","lwr","72.5388474055525"
"Alaska","Male","15-24 years","lwr","62.7878046346255"
"Alaska","Male","25-34 years","lwr","53.8127306287203"
