"State","Gender","Age.Cohort","Fit.Bound","LE"
"Alabama","Total","85+ years","lwr","6.48921974857785"
"Alabama","Total","< 1 year","upr","75.1814384968052"
"Alabama","Total","1-4 years","upr","74.6019593089104"
"Alabama","Total","5-14 years","upr","70.693837187956"
"Alabama","Total","15-24 years","upr","60.7960211274783"
"Alabama","Total","25-34 years","upr","51.3908459032489"
"Alabama","Total","35-44 years","upr","42.2562941826791"
"Alabama","Total","45-54 years","upr","33.4629327822905"
"Alabama","Total","55-64 years","upr","25.2888110846023"
"Alabama","Total","65-74 years","upr","18.1582297488622"
"Alabama","Total","75-84 years","upr","11.6784987395862"
"Alabama","Total","85+ years","upr","7.11981178453543"
"Alaska","Female","< 1 year","fit","82.3954968152478"
"Alaska","Female","1-4 years","fit","81.6276223604568"
"Alaska","Female","5-14 years","fit","77.674095478255"
"Alaska","Female","15-24 years","fit","67.7449909052869"
"Alaska","Female","25-34 years","fit","58.3136406679503"
"Alaska","Female","35-44 years","fit","49.0134636090685"
"Alaska","Female","45-54 years","fit","39.8441926547951"
"Alaska","Female","55-64 years","fit","31.1664716931305"
"Alaska","Female","65-74 years","fit","22.8607336136732"
"Alaska","Female","75-84 years","fit","15.1335149681157"
"Alaska","Female","85+ years","fit","9.23279352226721"
"Alaska","Female","< 1 year","lwr","81.747515205157"
"Alaska","Female","1-4 years","lwr","80.9899621563731"
"Alaska","Female","5-14 years","lwr","77.040301086916"
"Alaska","Female","15-24 years","lwr","67.114475495192"
"Alaska","Female","25-34 years","lwr","57.7059875035044"
"Alaska","Female","35-44 years","lwr","48.4550165834099"
"Alaska","Female","45-54 years","lwr","39.3218077494631"
"Alaska","Female","55-64 years","lwr","30.7353269236016"
"Alaska","Female","65-74 years","lwr","22.4973483102106"
"Alaska","Female","75-84 years","lwr","14.7903553161692"
"Alaska","Female","85+ years","lwr","9.05465587044534"
"Alaska","Female","< 1 year","upr","82.9834551467889"
"Alaska","Female","1-4 years","upr","82.2061292589679"
"Alaska","Female","5-14 years","upr","78.2493070293967"
"Alaska","Female","15-24 years","upr","68.3172003224008"
"Alaska","Female","25-34 years","upr","58.8646436035999"
"Alaska","Female","35-44 years","upr","49.5216445908344"
"Alaska","Female","45-54 years","upr","40.3191220057401"
"Alaska","Female","55-64 years","upr","31.5617845870408"
"Alaska","Female","65-74 years","upr","23.1932819708777"
"Alaska","Female","75-84 years","upr","15.4445454793272"
"Alaska","Female","85+ years","upr","9.39676113360324"
"Alaska","Male","< 1 year","fit","77.3139596383434"
"Alaska","Male","1-4 years","fit","76.6984312082368"
"Alaska","Male","5-14 years","fit","72.7550881831462"
"Alaska","Male","15-24 years","fit","62.9922222187417"
"Alaska","Male","25-34 years","fit","53.940179459054"
"Alaska","Male","35-44 years","fit","44.8130676145182"
"Alaska","Male","45-54 years","fit","35.9649431394914"
"Alaska","Male","55-64 years","fit","27.6402224936529"
"Alaska","Male","65-74 years","fit","20.0634767460512"
"Alaska","Male","75-84 years","fit","12.8615541605857"
"Alaska","Male","85+ years","fit","8.25568181818182"
"Alaska","Male","< 1 year","lwr","76.4821350862628"
"Alaska","Male","1-4 years","lwr","75.8849576082926"
"Alaska","Male","5-14 years","lwr","71.9460797666383"
"Alaska","Male","15-24 years","lwr","62.192894222242"
"Alaska","Male","25-34 years","lwr","53.2074969550317"
"Alaska","Male","35-44 years","lwr","44.1589726927944"
"Alaska","Male","45-54 years","lwr","35.3818151226855"
"Alaska","Male","55-64 years","lwr","27.1198676731747"
"Alaska","Male","65-74 years","lwr","19.6357895308017"
"Alaska","Male","75-84 years","lwr","12.4611456138686"
"Alaska","Male","85+ years","lwr","8.01704545454545"
"Alaska","Male","< 1 year","upr","78.0638011043071"
"Alaska","Male","1-4 years","upr","77.4317665538189"
"Alaska","Male","5-14 years","upr","73.484592393064"
"Alaska","Male","15-24 years","upr","63.7127273022019"
"Alaska","Male","25-34 years","upr","54.6027368192472"
"Alaska","Male","35-44 years","upr","45.4097510121984"
"Alaska","Male","45-54 years","upr","36.4988317711749"
"Alaska","Male","55-64 years","upr","28.115631485472"
"Alaska","Male","65-74 years","upr","20.4520036232748"
"Alaska","Male","75-84 years","upr","13.2212431638116"
"Alaska","Male","85+ years","upr","8.45170454545454"
"Alaska","Total","< 1 year","fit","79.7013004709707"
"Alaska","Total","1-4 years","fit","79.0136659203037"
"Alaska","Total","5-14 years","fit","75.0654337473653"
"Alaska","Total","15-24 years","fit","65.2247590758792"
"Alaska","Total","25-34 years","fit","56.0140196890929"
"Alaska","Total","35-44 years","fit","46.8122655545233"
"Alaska","Total","45-54 years","fit","37.8205139365907"
"Alaska","Total","55-64 years","fit","29.3455737907308"
"Alaska","Total","65-74 years","fit","21.4390884650454"
"Alaska","Total","75-84 years","fit","14.0178626268967"
"Alaska","Total","85+ years","fit","8.82505910165485"
