"State","Gender","Age.Cohort","fit","lwr","upr"
"Alaska","Female","75-84 years","12016.5388067871","11333.6738384576","12699.4037751166"
"Alaska","Female","85+ years","4560.55073891626","4478.86516211688","4642.23631571563"
"Alaska","Male","< 1 year","4806.92745849298","4542.4827460904","5071.37217089555"
"Alaska","Male","1-4 years","21102.658347017","19350.3832662641","22854.9334277699"
"Alaska","Male","5-14 years","54388.0835249042","51641.8021973465","57134.3648524619"
"Alaska","Male","15-24 years","49967.7108191936","46085.146581691","53850.2750566961"
"Alaska","Male","25-34 years","67333.1534756431","60910.0826050708","73756.2243462155"
"Alaska","Male","35-44 years","54393.4362707535","50471.9268622163","58314.9456792907"
"Alaska","Male","45-54 years","39911.1118044153","37813.9093420677","42008.3142667628"
"Alaska","Male","55-64 years","46286.8831600073","43703.7442298254","48870.0220901892"
"Alaska","Male","65-74 years","34512.4076993249","33371.4298278959","35653.385570754"
"Alaska","Male","75-84 years","11392.9345374932","10764.04812987","12021.8209451164"
"Alaska","Male","85+ years","2905.7693851487","2836.60085034063","2974.93791995676"
"Alaska","Total","< 1 year","9399.87203065134","8971.6640368613","9828.08002444138"
"Alaska","Total","1-4 years","41669.2418171867","38214.0919530646","45124.3916813087"
"Alaska","Total","5-14 years","105667.909396096","100255.347860506","111080.470931685"
"Alaska","Total","15-24 years","89876.6275497172","84412.3277778219","95340.9273216125"
"Alaska","Total","25-34 years","125623.611968619","114820.315281249","136426.908655989"
"Alaska","Total","35-44 years","104157.461740558","97651.5298027452","110663.393678371"
"Alaska","Total","45-54 years","75382.5373107097","70591.415004856","80173.6596165635"
"Alaska","Total","55-64 years","91162.3607006021","86315.9843254257","96008.7370757786"
"Alaska","Total","65-74 years","67164.7900383142","65179.4464574898","69150.1336191385"
"Alaska","Total","75-84 years","23409.4733442802","22112.0620056077","24706.8846829527"
"Alaska","Total","85+ years","7466.32012406495","7376.00110576358","7556.63914236632"
"Arizona","Female","< 1 year","36650.2580186097","32257.5585534992","41042.9574837203"
"Arizona","Female","1-4 years","158487.589965335","144922.709559453","172052.470371217"
"Arizona","Female","5-14 years","448962.366940339","437888.32185641","460036.412024268"
"Arizona","Female","15-24 years","461768.901623791","451781.438280307","471756.364967276"
"Arizona","Female","25-34 years","488155.129173509","468968.812681193","507341.445665824"
"Arizona","Female","35-44 years","446286.496296296","434718.778382311","457854.214210281"
"Arizona","Female","45-54 years","411272.619449006","394572.884481031","427972.35441698"
"Arizona","Female","55-64 years","452921.722422916","440276.218557142","465567.22628869"
"Arizona","Female","65-74 years","436847.811056377","419949.221760877","453746.400351877"
"Arizona","Female","75-84 years","227324.51713191","218866.949278828","235782.084984992"
"Arizona","Female","85+ years","89366.3958401752","86712.1371549965","92020.6545253538"
"Arizona","Male","< 1 year","38547.4765553731","34247.1955993357","42847.7575114105"
"Arizona","Male","1-4 years","166299.786900201","152770.570688182","179829.00311222"
"Arizona","Male","5-14 years","465943.356321839","454014.670819654","477872.041824024"
"Arizona","Male","15-24 years","490784.791060026","478506.931204564","503062.650915487"
"Arizona","Male","25-34 years","534590.35270936","520673.223294931","548507.482123788"
"Arizona","Male","35-44 years","455938.707535121","442007.304307434","469870.110762809"
"Arizona","Male","45-54 years","406791.034154352","392867.638060019","420714.430248684"
"Arizona","Male","55-64 years","412917.177668309","398945.672696217","426888.6826404"
